/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0274.jpg,1.0003,0.7567,0.7359,0.7061,0.6986
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0409.jpg,1.0003,0.7567,0.7359,0.7061,0.6986
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0825.jpg,1.0003,0.7567,0.7359,0.7061,0.6986
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0335.jpg,1.0003,0.7567,0.7359,0.7061,0.6986
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0148.jpg,1.0003,0.7567,0.7359,0.7061,0.6986
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0274.jpg,1.0001,0.7970,0.7854,0.7650,0.7559
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.1055.jpg,1.0001,0.7970,0.7854,0.7650,0.7559
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0825.jpg,1.0001,0.7970,0.7854,0.7650,0.7559
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0927.jpg,1.0001,0.7970,0.7854,0.7650,0.7559
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0209.jpg,1.0001,0.7970,0.7854,0.7650,0.7559
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0274.jpg,1.0001,0.7440,0.7402,0.7074,0.6968
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0825.jpg,1.0001,0.7440,0.7402,0.7074,0.6968
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.1055.jpg,1.0001,0.7440,0.7402,0.7074,0.6968
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0275.jpg,1.0001,0.7440,0.7402,0.7074,0.6968
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0213.jpg,1.0001,0.7440,0.7402,0.7074,0.6968
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0274.jpg,1.0000,0.9553,0.9406,0.9303,0.9160
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0825.jpg,1.0000,0.9553,0.9406,0.9303,0.9160
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0275.jpg,1.0000,0.9553,0.9406,0.9303,0.9160
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.1055.jpg,1.0000,0.9553,0.9406,0.9303,0.9160
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0428.jpg,1.0000,0.9553,0.9406,0.9303,0.9160
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0535.jpg,163840.5000,159203.9531,158202.2812,158081.7031,157994.2188
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0573.jpg,163840.5000,159203.9531,158202.2812,158081.7031,157994.2188
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0845.jpg,163840.5000,159203.9531,158202.2812,158081.7031,157994.2188
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0411.jpg,163840.5000,159203.9531,158202.2812,158081.7031,157994.2188
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0181.jpg,163840.5000,159203.9531,158202.2812,158081.7031,157994.2188
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0274.jpg,163840.5000,159793.1094,159453.1719,158891.2188,158046.6250
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0323.jpg,163840.5000,159793.1094,159453.1719,158891.2188,158046.6250
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0543.jpg,163840.5000,159793.1094,159453.1719,158891.2188,158046.6250
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0562.jpg,163840.5000,159793.1094,159453.1719,158891.2188,158046.6250
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0587.jpg,163840.5000,159793.1094,159453.1719,158891.2188,158046.6250
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0535.jpg,163840.5000,159203.9531,158202.2812,158081.7031,157994.2188
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0573.jpg,163840.5000,159203.9531,158202.2812,158081.7031,157994.2188
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0845.jpg,163840.5000,159203.9531,158202.2812,158081.7031,157994.2188
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0411.jpg,163840.5000,159203.9531,158202.2812,158081.7031,157994.2188
/Users/sundri/Desktop/CS5330/Project2/olympus/pic.0181.jpg,163840.5000,159203.9531,158202.2812,158081.7031,157994.2188
